arquivo,output,flag,username,timestamp
flagged\arquivo\a9fb57b65093307071ef\novas_empresas.csv,,,,2024-06-25 12:27:53.186273
flagged\arquivo\262ce65e4c88c3422945\novas_empresas.csv,,,,2024-06-25 12:27:55.454070
